Date,Open,High,Low,Close,Adj Close,Volume
2000-09-26,41000.000000,41900.000000,40200.000000,41300.000000,31513.169922,177700
2000-09-27,41000.000000,44500.000000,41000.000000,44000.000000,33573.351563,218200
2000-09-28,44100.000000,45000.000000,43250.000000,44450.000000,33916.707031,235200
2000-09-29,45100.000000,45100.000000,43600.000000,44100.000000,33649.652344,88600
2000-10-02,42500.000000,43600.000000,42500.000000,43300.000000,33039.222656,54900
2000-10-03,43300.000000,43300.000000,43300.000000,43300.000000,33039.222656,0
2000-10-04,41000.000000,42900.000000,41000.000000,42300.000000,32276.193359,148600
2000-10-05,43000.000000,43000.000000,42200.000000,42600.000000,32505.105469,293100
2000-10-06,41900.000000,42500.000000,41700.000000,41800.000000,31894.677734,103000
2000-10-09,40650.000000,41800.000000,40650.000000,41000.000000,31284.253906,159000
2000-10-10,40500.000000,41600.000000,40100.000000,40250.000000,30711.982422,174500
2000-10-11,40000.000000,40000.000000,38000.000000,39200.000000,29910.798828,202400
2000-10-12,38500.000000,40450.000000,38100.000000,38100.000000,29071.468750,164500
2000-10-13,37000.000000,37000.000000,34700.000000,35600.000000,27163.886719,493100
2000-10-16,35600.000000,35600.000000,35600.000000,35600.000000,27163.886719,0
2000-10-17,38000.000000,38950.000000,36800.000000,37000.000000,28232.130859,166300
2000-10-18,36000.000000,37100.000000,33400.000000,36350.000000,27736.162109,360700
2000-10-19,36550.000000,37800.000000,36350.000000,37300.000000,28461.042969,224200
2000-10-20,39800.000000,42850.000000,39200.000000,42350.000000,32314.341797,626900
2000-10-23,42500.000000,42800.000000,40250.000000,40600.000000,30979.044922,270900
2000-10-24,40600.000000,42100.000000,40000.000000,42100.000000,32123.587891,297300
2000-10-25,42200.000000,42750.000000,41000.000000,42500.000000,32428.800781,237800
2000-10-26,41900.000000,42000.000000,41500.000000,41600.000000,31742.066406,137800
2000-10-27,41600.000000,41600.000000,41600.000000,41600.000000,31742.066406,0
2000-10-30,42500.000000,42900.000000,41000.000000,42000.000000,32047.287109,72300
2000-10-31,42500.000000,45000.000000,41000.000000,44300.000000,33802.250000,228000
2000-11-01,45500.000000,48950.000000,45050.000000,47500.000000,36243.949219,373400
2000-11-02,47400.000000,49300.000000,46500.000000,48600.000000,37083.285156,513900
2000-11-03,49000.000000,50200.000000,48300.000000,48950.000000,37350.339844,475100
2000-11-06,48100.000000,49900.000000,47500.000000,48000.000000,36625.476563,304500
2000-11-07,48200.000000,48300.000000,46500.000000,47000.000000,35862.441406,175100
2000-11-08,45700.000000,47300.000000,44600.000000,47000.000000,35862.441406,173400
2000-11-09,46100.000000,49000.000000,46100.000000,48900.000000,37312.203125,186900
2000-11-10,48550.000000,49500.000000,47700.000000,49500.000000,37770.023438,131400
2000-11-13,48000.000000,48000.000000,45200.000000,46000.000000,35099.410156,263900
2000-11-14,46000.000000,49200.000000,46000.000000,48400.000000,36930.679688,267000
2000-11-15,49100.000000,49500.000000,47500.000000,48000.000000,36625.476563,188100
